[Trial 0] Mean score: 2.6981 | Params: {'learning_rate': 3.4275829089322223e-06, 'max_lr': 2.5000749322410017e-06, 'weight_decay': 0.0004352993420892103, 'grad_clip': 0.2, 'pct_start': 0.18225684868367503, 'adam_eps': 5.225811687278822e-07}
[Trial 7] | Mean score: 2.6586 | Val loss: 2.3993 | Train loss: 2.6586 | Params: {'learning_rate': 6.484878308302516e-08, 'max_lr': 8.504726194225391e-06, 'weight_decay': 0.06305593441386075, 'grad_clip': 0.45, 'pct_start': 0.06159430445910928, 'adam_eps': 2.5758557333033903e-06}
[Trial 10] | Mean score: 2.6411 | Val loss: 2.3042 | Train loss: 2.6411 | Params: {'learning_rate': 2.8046369164281845e-07, 'max_lr': 1.1362257367874964e-05, 'weight_decay': 0.0013263759620510318, 'grad_clip': 0.55, 'pct_start': 0.14435463184886682, 'adam_eps': 5.9865272441233216e-06}
[Trial 11] | Mean score: 2.6329 | Val loss: 2.3025 | Train loss: 2.6329 | Params: {'learning_rate': 2.368920952014146e-07, 'max_lr': 1.3164815512664954e-05, 'weight_decay': 0.0011559123333872473, 'grad_clip': 0.55, 'pct_start': 0.1444382310076794, 'adam_eps': 6.2301388270733516e-06}
[Trial 12] | Mean score: 2.6341 | Val loss: 2.2909 | Train loss: 2.6341 | Params: {'learning_rate': 5.932027282581701e-07, 'max_lr': 1.3906955694910349e-05, 'weight_decay': 0.0010220196913438727, 'grad_clip': 0.55, 'pct_start': 0.13942360256567354, 'adam_eps': 7.108024768000531e-06}
[Trial 13] | Mean score: 2.6534 | Val loss: 2.3010 | Train loss: 2.6534 | Params: {'learning_rate': 1.2650488600074354e-06, 'max_lr': 1.4483226729562242e-05, 'weight_decay': 0.0012151944197170068, 'grad_clip': 0.55, 'pct_start': 0.1259296091696681, 'adam_eps': 8.745403198744517e-06}
[Trial 14] | Mean score: 2.6176 | Val loss: 2.2999 | Train loss: 2.6176 | Params: {'learning_rate': 6.748640429451883e-07, 'max_lr': 1.3555141682593258e-05, 'weight_decay': 0.013864782467994408, 'grad_clip': 0.55, 'pct_start': 0.13958199920442574, 'adam_eps': 5.746236335438617e-06}

[Trial 0] | Mean score: 2.7289 | Val loss: 2.3816 | Train loss: 2.7289 | Params: {'learning_rate': 6.310371194034774e-07, 'max_lr': 5.1087800047907374e-06, 'weight_decay': 0.014187423630725846, 'grad_clip': 0.4, 'pct_start': 0.14573517389340135, 'adam_eps': 2.2287030564991985e-06}
[Trial 1] | Mean score: 2.7360 | Val loss: 2.4434 | Train loss: 2.7360 | Params: {'learning_rate': 3.5941127203358895e-07, 'max_lr': 9.340096744539768e-06, 'weight_decay': 0.016558948407846403, 'grad_clip': 0.475, 'pct_start': 0.16010828747562117, 'adam_eps': 2.0165138362259345e-06}
[Trial 2] | Mean score: 2.6285 | Val loss: 2.3503 | Train loss: 2.6285 | Params: {'learning_rate': 7.779351108509014e-07, 'max_lr': 7.101835831776282e-06, 'weight_decay': 0.017016411967880864, 'grad_clip': 0.55, 'pct_start': 0.12360959634776629, 'adam_eps': 2.232190784153545e-06}
[Trial 3] | Mean score: 2.6611 | Val loss: 2.3744 | Train loss: 2.6611 | Params: {'learning_rate': 2.32992676562861e-07, 'max_lr': 1.7726350260725876e-05, 'weight_decay': 0.022730294577404362, 'grad_clip': 0.535, 'pct_start': 0.13137655128783535, 'adam_eps': 4.261455765527589e-06}
[Trial 4] | Mean score: 2.7148 | Val loss: 2.4026 | Train loss: 2.7148 | Params: {'learning_rate': 5.632941306490503e-07, 'max_lr': 1.2156348724638256e-05, 'weight_decay': 0.017790056026247357, 'grad_clip': 0.4, 'pct_start': 0.143583203290518, 'adam_eps': 4.4013152703602205e-06}
[Trial 6] | Mean score: 2.6442 | Val loss: 2.3406 | Train loss: 2.6442 | Params: {'learning_rate': 7.504702554201425e-07, 'max_lr': 8.066449618864669e-06, 'weight_decay': 0.0181434658984377, 'grad_clip': 0.535, 'pct_start': 0.141423173547538, 'adam_eps': 2.6672551538429398e-06}
[Trial 10] | Mean score: 2.6136 | Val loss: 2.2991 | Train loss: 2.6136 | Params: {'learning_rate': 4.478729449969891e-07, 'max_lr': 6.654247489481488e-06, 'weight_decay': 0.008783039187149212, 'grad_clip': 0.55, 'pct_start': 0.10779034068915512, 'adam_eps': 3.3115178589967055e-06}
[Trial 11] | Mean score: 2.6090 | Val loss: 2.3046 | Train loss: 2.6090 | Params: {'learning_rate': 4.3627407660049145e-07, 'max_lr': 6.536441346514922e-06, 'weight_decay': 0.008151348385837405, 'grad_clip': 0.55, 'pct_start': 0.10565574038236267, 'adam_eps': 3.1711852121735316e-06}
[Trial 12] | Mean score: 2.6179 | Val loss: 2.2999 | Train loss: 2.6179 | Params: {'learning_rate': 4.195728721577834e-07, 'max_lr': 6.26535453460118e-06, 'weight_decay': 0.008093840140860882, 'grad_clip': 0.55, 'pct_start': 0.10139070079259806, 'adam_eps': 3.309653175710846e-06}
[Trial 13] | Mean score: 2.6004 | Val loss: 2.2975 | Train loss: 2.6004 | Params: {'learning_rate': 4.219951235467466e-07, 'max_lr': 6.5168067747915805e-06, 'weight_decay': 0.008238015552897413, 'grad_clip': 0.55, 'pct_start': 0.10015647871915792, 'adam_eps': 3.1869873052308747e-06}
